Code,Indicator Name,Long definition,Source
WP11653.6,"Borrowed from family or friends, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14919.6,"Borrowed from family or friends, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from family, relatives, or friends (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11653.10,"Borrowed from family or friends, rural (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14919.10,"Borrowed from family or friends, rural (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from family, relatives, or friends (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_08.7,"Borrowed from family or friends, secondary education or more (% ages 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from family, relatives, or friends in the past 12 months (see year-specific definitions for details) (secondary education or more, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11653.7,"Borrowed from family or friends, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14919.7,"Borrowed from family or friends, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from family, relatives, or friends (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_08.4,"Borrowed from family or friends, young adults (% ages 15-24) [ts]","Denotes the percentage of respondents who report borrowing any money from family, relatives, or friends in the past 12 months (see year-specific definitions for details) (% ages 15-24). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11653.4,"Borrowed from family or friends, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP14919.4,"Borrowed from family or friends, young adults (% ages 15-24) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from family, relatives, or friends (% ages 15-24). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.1,"Borrowed to start, operate, or expand a farm or business (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.3,"Borrowed to start, operate, or expand a farm or business, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.8,"Borrowed to start, operate, or expand a farm or business, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.9,"Borrowed to start, operate, or expand a farm or business, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.2,"Borrowed to start, operate, or expand a farm or business, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.5,"Borrowed to start, operate, or expand a farm or business, older adults (% ages 25+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (% age 25+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.6,"Borrowed to start, operate, or expand a farm or business, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.10,"Borrowed to start, operate, or expand a farm or business, rural (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.7,"Borrowed to start, operate, or expand a farm or business, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14923.4,"Borrowed to start, operate, or expand a farm or business, young adults (% ages 15-24) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) to start, operate, or expand a farm or business (% ages 15-24). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.4.1,Coming up with emergency funds: not at all possible (% age 15+) [w2],Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.4.3,"Coming up with emergency funds: not at all possible, female (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.4.8,"Coming up with emergency funds: not at all possible, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.4.9,"Coming up with emergency funds: not at all possible, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.4.2,"Coming up with emergency funds: not at all possible, male (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.4.5,"Coming up with emergency funds: not at all possible, older adults (% ages 25+) [w2]",Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.4.6,"Coming up with emergency funds: not at all possible, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.4.10,"Coming up with emergency funds: not at all possible, rural (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.4.7,"Coming up with emergency funds: not at all possible, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.4.4,"Coming up with emergency funds: not at all possible, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents who report that in case of an emergency it is not at all possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.3.1,Coming up with emergency funds: not very possible (% age 15+) [w2],Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.3.3,"Coming up with emergency funds: not very possible, female (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.3.8,"Coming up with emergency funds: not very possible, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.3.9,"Coming up with emergency funds: not very possible, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.3.2,"Coming up with emergency funds: not very possible, male (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.3.5,"Coming up with emergency funds: not very possible, older adults (% ages 25+) [w2]",Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.3.6,"Coming up with emergency funds: not very possible, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.3.10,"Coming up with emergency funds: not very possible, rural (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.3.7,"Coming up with emergency funds: not very possible, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.3.4,"Coming up with emergency funds: not very possible, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents who report that in case of an emergency it is not very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.2.1,Coming up with emergency funds: somewhat possible (% age 15+) [w2],Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.2.3,"Coming up with emergency funds: somewhat possible, female (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.2.8,"Coming up with emergency funds: somewhat possible, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.2.9,"Coming up with emergency funds: somewhat possible, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.2.2,"Coming up with emergency funds: somewhat possible, male (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.2.5,"Coming up with emergency funds: somewhat possible, older adults (% ages 25+) [w2]",Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.2.6,"Coming up with emergency funds: somewhat possible, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.2.10,"Coming up with emergency funds: somewhat possible, rural (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.2.7,"Coming up with emergency funds: somewhat possible, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.2.4,"Coming up with emergency funds: somewhat possible, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents who report that in case of an emergency it is somewhat possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.1.1,Coming up with emergency funds: very possible (% age 15+) [w2],Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.1.3,"Coming up with emergency funds: very possible, female (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.1.8,"Coming up with emergency funds: very possible, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.1.9,"Coming up with emergency funds: very possible, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.1.2,"Coming up with emergency funds: very possible, male (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.1.5,"Coming up with emergency funds: very possible, older adults (% ages 25+) [w2]",Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14926.1.6,"Coming up with emergency funds: very possible, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.1.10,"Coming up with emergency funds: very possible, rural (% age 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.1.7,"Coming up with emergency funds: very possible, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14926.1.4,"Coming up with emergency funds: very possible, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents who report that in case of an emergency it is very possible for them to come up with 1/20 of GNI per capita in local currency within the next month (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
FB.CBK.BRCH.P5,"Commercial bank branches (per 100,000 adults)",Commercial bank branches are retail locations of resident commercial banks and other resident banks that function as commercial banks that provide financial services to customers and are physically separated from the main office but not organized as legally separated subsidiaries.,"International Monetary Fund, Financial Access Survey."
WP_time_03.1,Credit card (% age 15+) [ts],Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11627.1,Credit card (% age 15+) [w1],Denotes the percentage of respondents with a credit card (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP14891.1,Credit card (% age 15+) [w2],Denotes the percentage of respondents with a credit card (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14892.1,Credit card used in the past year (% age 15+) [w2],Denotes the percentage of respondents who report using their own credit card in the past 12 months (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14892.3,"Credit card used in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report using their own credit card in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14892.8,"Credit card used in the past year, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report using their own credit card in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14892.9,"Credit card used in the past year, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report using their own credit card in the past 12 months (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14892.2,"Credit card used in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report using their own credit card in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14892.5,"Credit card used in the past year, older adults (% ages 25+) [w2]",Denotes the percentage of respondents who report using their own credit card in the past 12 months (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14892.6,"Credit card used in the past year, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report using their own credit card in the past 12 months (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14892.10,"Credit card used in the past year, rural (% age 15+) [w2]","Denotes the percentage of respondents who report using their own credit card in the past 12 months (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14892.7,"Credit card used in the past year, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report using their own credit card in the past 12 months (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14892.4,"Credit card used in the past year, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents who report using their own credit card in the past 12 months (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP_time_03.3,"Credit card, female (% age 15+) [ts]","Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11627.3,"Credit card, female (% age 15+) [w1]","Denotes the percentage of respondents with a credit card (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14891.3,"Credit card, female (% age 15+) [w2]","Denotes the percentage of respondents with a credit card (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_03.8,"Credit card, income, poorest 40% (% ages 15+) [ts]","Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (income, poorest 40%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11627.8,"Credit card, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents with a credit card (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14891.8,"Credit card, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents with a credit card (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_03.9,"Credit card, income, richest 60% (% ages 15+) [ts]","Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (income, richest 60%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11627.9,"Credit card, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents with a credit card (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14891.9,"Credit card, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents with a credit card (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_03.2,"Credit card, male (% age 15+) [ts]","Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11627.2,"Credit card, male (% age 15+) [w1]","Denotes the percentage of respondents with a credit card (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14891.2,"Credit card, male (% age 15+) [w2]","Denotes the percentage of respondents with a credit card (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_03.5,"Credit card, older adults (% ages 25+) [ts]",Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (% age 25+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11627.5,"Credit card, older adults (% ages 25+) [w1]",Denotes the percentage of respondents with a credit card (% age 25+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP14891.5,"Credit card, older adults (% ages 25+) [w2]",Denotes the percentage of respondents with a credit card (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP_time_03.6,"Credit card, primary education or less (% ages 15+) [ts]","Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (primary education or less, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11627.6,"Credit card, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents with a credit card (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14891.6,"Credit card, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents with a credit card (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11627.10,"Credit card, rural (% age 15+) [w1]","Denotes the percentage of respondents with a credit card (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14891.10,"Credit card, rural (% age 15+) [w2]","Denotes the percentage of respondents with a credit card (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_03.7,"Credit card, secondary education or more (% ages 15+) [ts]","Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (secondary education or more, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11627.7,"Credit card, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents with a credit card (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14891.7,"Credit card, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents with a credit card (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_03.4,"Credit card, young adults (% ages 15-24) [ts]",Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (% ages 15-24). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11627.4,"Credit card, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents with a credit card (% ages 15-24). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP14891.4,"Credit card, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents with a credit card (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high),"Depth of credit information index measures rules affecting the scope, accessibility, and quality of credit information available through public or private credit registries. The index ranges from 0 to 8, with higher values indicating the availability of more credit information, from either a public registry or a private bureau, to facilitate lending decisions.","World Bank, Doing Business project (http://www.doingbusiness.org/)."
WP_time_02.1,Debit card (% age 15+) [ts],Denotes the percentage of respondents who report having a debit card (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11626.1,Debit card (% age 15+) [w1],Denotes the percentage of respondents with a debit card (% age 15+). [w1: data are available for wave 1].,"Demirguc-Kunt and Klapper, 2012"
WP14888.1,Debit card (% age 15+) [w2],Denotes the percentage of respondents with a debit card (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14889.1,Debit card in own name (% age 15+) [w2],Denotes the percentage of respondents with a debit card linked to an account with their name on it (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14889.3,"Debit card in own name, female (% age 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14889.8,"Debit card in own name, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14889.9,"Debit card in own name, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14889.2,"Debit card in own name, male (% age 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14889.5,"Debit card in own name, older adults (% ages 25+) [w2]",Denotes the percentage of respondents with a debit card linked to an account with their name on it (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14889.6,"Debit card in own name, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14889.10,"Debit card in own name, rural (% age 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14889.7,"Debit card in own name, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents with a debit card linked to an account with their name on it (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14889.4,"Debit card in own name, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents with a debit card linked to an account with their name on it (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14890.1,Debit card used in the past year (% age 15+) [w2],Denotes the percentage of respondents who report using their own debit card directly to make a purchase in the past 12 months (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14890.3,"Debit card used in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report using their own debit card directly to make a purchase in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14890.8,"Debit card used in the past year, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report using their own debit card directly to make a purchase in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
